fold,test_project,model,accuracy,balanced_accuracy,precision,recall,f1,roc_auc,pr_auc
1,PySnooper,Dummy Baseline,0.7543859649122807,0.5,0.0,0.0,0.0,0.5,0.24561403508771928
1,PySnooper,Logistic Regression,0.7543859649122807,0.6686046511627908,0.5,0.5,0.5,0.8156146179401994,0.6062548697159418
1,PySnooper,Random Forest,0.8421052631578947,0.7026578073089701,0.8571428571428571,0.42857142857142855,0.5714285714285714,0.7259136212624585,0.6573926188833021
1,PySnooper,XGBoost,0.8245614035087719,0.6669435215946844,0.8333333333333334,0.35714285714285715,0.5,0.7475083056478405,0.6278921328663806
2,ansible,Dummy Baseline,0.75,0.5,0.0,0.0,0.0,0.5,0.25
2,ansible,Logistic Regression,0.7314814814814815,0.7345679012345678,0.47619047619047616,0.7407407407407407,0.5797101449275363,0.7773205304069501,0.6124607656128029
2,ansible,Random Forest,0.7777777777777778,0.6172839506172839,0.6153846153846154,0.2962962962962963,0.4,0.7585733882030178,0.5781719525206639
2,ansible,XGBoost,0.7685185185185185,0.6358024691358024,0.5555555555555556,0.37037037037037035,0.4444444444444444,0.7544581618655692,0.5634576587132436
3,black,Dummy Baseline,0.7396226415094339,0.5,0.0,0.0,0.0,0.5,0.26037735849056604
3,black,Logistic Regression,0.6566037735849056,0.7021221532091098,0.4166666666666667,0.7971014492753623,0.5472636815920398,0.7846051464063886,0.5615135513838394
3,black,Random Forest,0.7094339622641509,0.5969757468204673,0.43103448275862066,0.36231884057971014,0.3937007874015748,0.720201123927832,0.5107086691580205
3,black,XGBoost,0.7547169811320755,0.6369787045252884,0.54,0.391304347826087,0.453781512605042,0.7018633540372671,0.4982566273493065
4,cookiecutter,Dummy Baseline,0.75,0.5,0.0,0.0,0.0,0.5,0.25
4,cookiecutter,Logistic Regression,0.8125,0.6666666666666667,0.75,0.375,0.5,0.9427083333333334,0.791801948051948
4,cookiecutter,Random Forest,0.75,0.5416666666666667,0.5,0.125,0.2,0.9427083333333334,0.7939484126984127
4,cookiecutter,XGBoost,0.75,0.5416666666666667,0.5,0.125,0.2,0.921875,0.7675595238095237
5,fastapi,Dummy Baseline,0.7621621621621621,0.5,0.0,0.0,0.0,0.5,0.23783783783783785
5,fastapi,Logistic Regression,0.9459459459459459,0.9254513217279174,0.8863636363636364,0.8863636363636364,0.8863636363636364,0.9766279819471309,0.8948827044693248
5,fastapi,Random Forest,0.8162162162162162,0.6370889748549323,0.8125,0.29545454545454547,0.43333333333333335,0.894261766602192,0.7040473510989802
5,fastapi,XGBoost,0.8054054054054054,0.6143617021276595,0.7857142857142857,0.25,0.3793103448275862,0.8592843326885881,0.6610815755288264
6,keras,Dummy Baseline,0.7564102564102564,0.5,0.0,0.0,0.0,0.5,0.24358974358974358
6,keras,Logistic Regression,0.6698717948717948,0.6970338983050848,0.40425531914893614,0.75,0.5253456221198156,0.7797167707404103,0.5711518021995149
6,keras,Random Forest,0.6955128205128205,0.6559991079393399,0.411214953271028,0.5789473684210527,0.4808743169398907,0.7821978144513827,0.5407721490730979
6,keras,XGBoost,0.7147435897435898,0.6865521855486173,0.44036697247706424,0.631578947368421,0.518918918918919,0.782978367528992,0.5429580802796983
7,luigi,Dummy Baseline,0.7578947368421053,0.5,0.0,0.0,0.0,0.5,0.24210526315789474
7,luigi,Logistic Regression,0.7631578947368421,0.6736111111111112,0.5111111111111111,0.5,0.5054945054945055,0.8120471014492754,0.5909221751318522
7,luigi,Random Forest,0.7947368421052632,0.6204710144927537,0.6842105263157895,0.2826086956521739,0.4,0.7983091787439613,0.5702772848598295
7,luigi,XGBoost,0.7894736842105263,0.6096014492753623,0.6666666666666666,0.2608695652173913,0.375,0.7907608695652174,0.6027637109465023
8,matplotlib,Dummy Baseline,0.7630057803468208,0.5,0.0,0.0,0.0,0.5,0.23699421965317918
8,matplotlib,Logistic Regression,0.6589595375722543,0.6840354767184036,0.38461538461538464,0.7317073170731707,0.5042016806722689,0.7588691796008868,0.49852972469122286
8,matplotlib,Random Forest,0.7398843930635838,0.6361788617886179,0.45,0.43902439024390244,0.4444444444444444,0.7753141167775314,0.5398456196912534
8,matplotlib,XGBoost,0.7572254335260116,0.6307280118255728,0.48484848484848486,0.3902439024390244,0.43243243243243246,0.7836289726533628,0.5296608831022844
9,pandas,Dummy Baseline,0.75,0.5,0.0,0.0,0.0,0.5,0.25
9,pandas,Logistic Regression,0.75,0.8333333333333333,0.5,1.0,0.6666666666666666,0.7777777777777778,0.4777777777777778
9,pandas,Random Forest,0.6666666666666666,0.4444444444444444,0.0,0.0,0.0,0.7407407407407408,0.4666666666666667
9,pandas,XGBoost,0.6666666666666666,0.4444444444444444,0.0,0.0,0.0,0.8888888888888888,0.6388888888888888
10,sanic,Dummy Baseline,0.75,0.5,0.0,0.0,0.0,0.5,0.25
10,sanic,Logistic Regression,0.8333333333333334,0.7777777777777777,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.9629629629629629,0.9166666666666665
10,sanic,Random Forest,0.8333333333333334,0.7777777777777777,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.8148148148148149,0.6984126984126984
10,sanic,XGBoost,0.8333333333333334,0.6666666666666666,1.0,0.3333333333333333,0.5,0.7407407407407407,0.6666666666666666
11,scrapy,Dummy Baseline,0.76171875,0.5,0.0,0.0,0.0,0.5,0.23828125
11,scrapy,Logistic Regression,0.74609375,0.6023959646910466,0.45454545454545453,0.32786885245901637,0.38095238095238093,0.7544346364018495,0.48125947571890954
11,scrapy,Random Forest,0.765625,0.5532576712904582,0.5294117647058824,0.14754098360655737,0.23076923076923078,0.7901639344262295,0.5038775988101625
11,scrapy,XGBoost,0.765625,0.5476250525430854,0.5333333333333333,0.13114754098360656,0.21052631578947367,0.7921395544346364,0.5005573536586869
12,spacy,Dummy Baseline,0.7714285714285715,0.5,0.0,0.0,0.0,0.5,0.22857142857142856
12,spacy,Logistic Regression,0.8,0.7824074074074074,0.5454545454545454,0.75,0.631578947368421,0.7777777777777778,0.4975358422939068
12,spacy,Random Forest,0.7714285714285715,0.6319444444444444,0.5,0.375,0.42857142857142855,0.8657407407407407,0.5591231684981685
