model,accuracy,balanced_accuracy,precision,recall,f1,roc_auc,pr_auc
Dummy Baseline,0.7550505050505051,0.5,0.0,0.0,0.0,0.4893824776747233,0.24032995715233796
Logistic Regression,0.7313131313131314,0.6911353997862291,0.46333853354134164,0.6123711340206186,0.5275310834813499,0.7613639968279143,0.5412938869959887
Random Forest,0.748989898989899,0.605333930972658,0.4815950920245399,0.3237113402061856,0.3871763255240444,0.7469703134158535,0.49229626421732
XGBoost,0.7621212121212121,0.6119401441230217,0.5238095238095238,0.31752577319587627,0.39537869062901154,0.7398420853015206,0.4828567223091715
